[0.162790,0.185020,0.408724,0.260992,0.253390,0.351996,0.100812,0.342904,0.194639,0.146946,0.190539,0.441210,0.250049,0.158781,0.154655,0.221673,0.389015,0.252698,0.128617,0.088561,0.226683,0.166691,0.154660,0.058003,0.476878,0.258129,0.731379]	[87.790883,137.332407,61.316019,52.511494,145.990542,99.581342,82.741484,46.316200,65.002432,62.875274,53.517563,66.398274,66.936423,57.018649,58.364176,75.715079,144.648028,105.175596,52.319780,56.513313,96.013262,95.628931,82.407599,59.528844,71.131293,100.810159,77.861401]	3109
[0.284411,0.219725,0.286855,0.357322,0.286902,0.591341,0.088611,0.344293,0.199843,0.147934,0.211100,0.503644,0.533432,0.154395,0.154957,0.191075,0.416567,0.473524,0.127632,0.087007,0.398171,0.198228,0.153620,0.041483,0.537414,0.200379,0.741179]	[86.497981,132.793059,62.944563,54.107456,138.639872,108.140145,84.589594,46.242021,64.757168,60.609584,53.533203,69.158248,66.340556,67.819804,58.546683,71.823060,150.545608,102.226464,54.962920,56.851959,85.305923,92.806463,82.851891,59.728085,70.978632,102.492552,79.956252]	1396
[0.185696,0.476151,0.323091,0.396692,0.340325,0.527377,0.108147,0.314514,0.219425,0.143416,0.082178,0.499277,0.269616,0.080526,0.133105,0.246200,0.327454,0.392222,0.132889,0.080272,0.479060,0.240808,0.169154,0.331415,0.527098,0.211203,0.509551]	[86.576647,136.448463,63.475122,66.383081,138.760461,110.553867,88.533870,46.611368,54.988891,61.787896,58.024888,65.876311,66.396764,70.305099,57.691694,71.716611,147.194032,103.227301,53.627169,58.784255,84.166383,92.387082,85.279239,58.051712,73.386835,99.881406,79.451840]	1832
[0.235256,0.122989,0.211664,0.587327,0.346738,0.468638,0.122812,0.323333,0.209327,0.152148,0.158702,0.514789,0.273968,0.088751,0.133025,0.222857,0.416386,0.390363,0.132300,0.081347,0.428796,0.212130,0.178388,0.287719,0.365007,0.205482,0.562237]	[55.112021,88.374739,63.761389,126.781177,141.756922,110.490460,82.711591,46.531505,54.136216,96.413120,54.220392,65.454999,68.120819,70.902656,57.759069,80.124848,148.514564,102.620497,53.446069,58.734893,83.728457,93.183197,84.520975,58.085648,71.906010,101.712002,79.379895]	1291
[0.089198,0.253282,0.482540,0.284477,0.100953,0.400017,0.052808,0.337804,0.194696,0.170355,0.104401,0.369871,0.189399,0.052417,0.132838,0.169079,0.424277,0.422179,0.145665,0.074453,0.430470,0.128828,0.164113,0.170234,0.432671,0.218173,0.538394]	[66.112178,80.645970,71.636858,134.324784,151.205402,96.964376,85.587497,48.164702,55.098131,100.168248,55.224633,77.276310,69.620672,56.741540,57.963163,77.991263,144.929245,68.973758,53.272070,59.918882,97.329041,113.188202,82.697824,62.804517,69.339561,103.806027,67.661500]	4580
[0.177674,0.273453,0.348170,0.459989,0.150192,0.345206,0.081329,0.149746,0.305254,0.162776,0.157108,0.146949,0.201919,0.061479,0.139578,0.183408,0.250259,0.463727,0.339047,0.254367,0.387805,0.298158,0.143719,0.222202,0.495854,0.214468,0.343970]	[101.003277,142.903644,58.255704,40.519346,131.930531,106.631130,79.559445,59.768366,60.086066,65.203156,70.469138,78.057611,65.904988,59.174739,76.111446,51.569706,156.438815,67.996726,54.974814,54.329919,97.463095,111.388515,82.325458,63.719066,71.029115,104.576706,64.089383]	6315
[0.402045,0.110889,0.245162,0.439361,0.225605,0.298125,0.130929,0.155703,0.220864,0.045740,0.156308,0.351703,0.181570,0.273742,0.190130,0.185849,0.471828,0.285520,0.298204,0.176618,0.747817,0.454860,0.170744,0.281890,0.488878,0.187185,0.381926]	[96.192866,90.631017,67.920652,70.977642,155.159805,109.824540,92.115913,50.603765,57.579689,67.747279,53.398175,70.609545,67.650005,136.777611,62.100496,54.813425,134.178382,82.852447,51.829779,57.897350,100.212415,97.202370,86.593111,63.254400,73.366905,88.681592,79.717588]	6296
[0.291747,0.264174,0.270688,0.572849,0.092343,0.293512,0.148661,0.149063,0.249636,0.041402,0.145378,0.170914,0.228849,0.270187,0.152541,0.185267,0.365162,0.453089,0.270826,0.146709,0.361377,0.460259,0.168342,0.330955,0.243681,0.210689,0.441991]	[72.371137,137.416621,60.144876,64.987541,164.541741,102.302788,87.377914,50.642077,57.678114,65.509812,55.283891,88.080868,66.634812,52.695685,62.687002,73.112558,126.131172,67.555918,53.652706,54.172430,100.052783,108.336301,86.961242,62.638523,98.514679,98.704730,73.242828]	3095
[0.531891,0.103216,0.541928,0.659491,0.365522,0.401565,0.219052,0.131285,0.238870,0.024395,0.114197,0.252873,0.210641,0.220450,0.077274,0.177928,0.470944,0.357494,0.323271,0.196722,0.364604,0.501298,0.107831,0.415608,0.277050,0.181151,0.274909]	[95.174912,139.875985,61.648332,56.858555,109.434446,100.663248,79.722825,58.979277,58.674209,71.975801,55.724062,76.605028,66.015775,67.000075,64.616362,68.625192,172.005968,71.973159,53.798480,55.106295,99.578715,97.745500,83.049544,62.051367,72.151302,102.136473,91.161205]	2571
[0.248121,0.125935,0.434180,0.413789,0.096510,0.086906,0.208825,0.153375,0.219525,0.033415,0.126185,0.348790,0.114624,0.185083,0.059476,0.163823,0.339907,0.340389,0.289221,0.151122,0.268579,0.242394,0.069119,0.336218,0.294959,0.250476,0.223908]	[92.318677,144.565323,60.315293,56.679891,144.164887,88.410690,77.303136,57.583082,60.238383,66.743179,56.009690,75.859139,73.879242,62.482838,67.677552,67.590703,152.579530,76.263489,53.772229,52.579507,99.018624,103.615826,81.551793,58.068237,73.129275,98.684508,85.181162]	2979
[0.207756,0.095798,0.569614,0.537003,0.249044,0.100463,0.190065,0.153355,0.171052,0.023599,0.109738,0.387300,0.061564,0.206084,0.060199,0.158911,0.653134,0.415431,0.288002,0.146031,0.448256,0.294954,0.082712,0.253655,0.247157,0.260998,0.445199]	[94.980183,148.364707,61.122586,59.628862,128.461923,88.876755,77.329171,58.830642,58.823058,64.462296,58.262579,73.910151,76.981390,57.840647,64.981879,69.798883,158.201139,104.481820,52.701237,52.707989,97.781898,107.960424,78.650829,57.351407,73.390421,94.787761,67.526670]	2513
[0.371123,0.118415,0.206954,0.471128,0.375827,0.290536,0.138886,0.138299,0.176449,0.029405,0.103906,0.535879,0.222061,0.199261,0.066320,0.141631,0.453597,0.640941,0.283994,0.149607,0.271303,0.267440,0.083943,0.165331,0.254251,0.275521,0.355638]	[65.429362,152.138339,60.754157,66.290199,113.239504,95.416631,73.358765,58.379629,69.456843,66.887144,58.746381,73.557337,72.054822,55.969384,70.024351,67.644879,171.044891,99.368459,52.296889,52.342196,93.290548,107.065674,81.724653,57.938629,100.795802,85.365017,72.305241]	1824
[0.313337,0.250827,0.301209,0.484141,0.380604,0.271766,0.149303,0.158731,0.156360,0.026572,0.110756,0.535793,0.339191,0.156895,0.062762,0.196129,0.629025,0.351147,0.209557,0.217254,0.305231,0.170604,0.094742,0.183464,0.300045,0.433352,0.353672]	[91.199721,134.997221,64.172270,69.680678,112.734027,90.973368,74.495229,60.215711,69.768061,70.031530,59.758469,77.314249,65.281537,56.688921,74.053758,63.419670,171.011984,68.552791,51.298700,57.838678,99.121556,120.541111,81.362569,59.184582,77.028002,103.957209,71.953786]	3692
[0.267657,0.102766,0.307480,0.285488,0.094099,0.293527,0.113571,0.197091,0.160855,0.107924,0.236047,0.400646,0.436835,0.104093,0.161029,0.225942,0.305232,0.675538,0.125507,0.127081,0.606581,0.290951,0.173223,0.625878,0.362010,0.217734,0.471864]	[72.473362,153.669742,61.136257,55.212605,134.511438,103.888393,63.904084,55.710006,54.293386,104.607272,74.889453,86.930005,66.909699,59.936018,74.660344,94.326146,155.064536,68.186434,55.396114,47.367253,99.573623,107.324543,85.597680,63.097152,72.718344,86.028635,62.644184]	6782
[0.466016,0.376443,0.365432,0.317084,0.108478,0.301961,0.106565,0.229084,0.242290,0.222293,0.283581,0.475320,0.216194,0.191639,0.094483,0.149971,0.152666,0.265078,0.133569,0.405775,0.449949,0.321736,0.174850,0.803790,0.337524,0.178441,0.359501]	[91.435706,128.645042,63.060338,51.967258,128.175061,99.751032,64.842452,60.229493,78.246421,61.476869,53.931138,96.525063,64.352561,66.690283,69.002520,88.102775,156.365448,65.669719,56.990440,50.042413,95.879526,104.938478,85.792024,62.995137,75.463768,105.354327,92.486583]	6033
