[0.018556,0.296773,0.611302,0.211338,0.098684,0.088232,0.027516,0.418317]	[100.854528,54.104970,76.040486,71.805977,77.441988,109.763477,81.108128,60.191200]	1344
[0.017071,0.309959,0.550620,0.121310,0.126462,0.065535,0.031693,0.346153]	[110.870467,53.801147,57.325648,77.346510,79.635545,110.189265,82.351319,60.049459]	1375
[0.024237,0.374800,0.700641,0.126580,0.085944,0.063143,0.058214,0.446644]	[95.236682,54.244133,74.625099,78.942188,76.314669,102.344050,92.381718,57.619423]	1332
[0.026123,0.267153,0.353318,0.079705,0.098121,0.076397,0.278136,0.058004]	[104.919481,43.123326,62.701746,92.061563,84.250726,98.624202,80.029014,74.631609]	3559
[0.020324,0.427862,0.233693,0.208095,0.032856,0.059667,0.269041,0.064006]	[104.661633,45.233049,75.129368,68.638298,89.598914,105.831754,84.844009,70.516880]	2623
[0.013657,0.461814,0.308566,0.189492,0.035214,0.104898,0.086232,0.098302]	[102.558008,49.931179,77.547334,71.314012,89.073985,106.478208,85.180792,61.330901]	2640
[0.014565,0.270210,0.256656,0.130551,0.027425,0.069459,0.226066,0.166267]	[112.175822,52.094766,59.289096,79.936498,92.709372,105.850613,77.092178,55.105283]	1639
[0.016140,0.305649,0.457400,0.132911,0.051804,0.056351,0.251620,0.134228]	[111.082238,46.802575,63.967311,77.257251,90.395874,106.404698,76.028481,59.385947]	867
[0.014400,0.564550,0.294988,0.137509,0.076513,0.119430,0.075478,0.229367]	[88.189180,54.101600,89.073919,79.809367,90.922524,105.966596,88.674410,44.269345]	2227
[0.020499,0.537720,0.332659,0.134733,0.045131,0.139132,0.049957,0.206392]	[87.393316,54.122339,88.125808,78.877801,98.670568,100.007612,88.370258,49.187860]	1418
[0.014874,0.475330,0.352627,0.135070,0.056451,0.127504,0.065083,0.188589]	[112.813352,53.714994,59.147924,82.511956,95.886423,99.211461,83.525993,52.235383]	830
[0.016039,0.232543,0.082586,0.267346,0.053025,0.279033,0.093432,0.355250]	[99.485763,61.865665,98.156034,70.793674,103.273767,84.481784,88.687135,47.049275]	3569
[0.022931,0.254377,0.099002,0.134844,0.028640,0.272061,0.061655,0.286338]	[99.716046,59.571764,82.230878,73.027475,108.531068,82.909207,87.687457,44.955119]	2382
[0.036478,0.250695,0.064082,0.113723,0.040127,0.299193,0.042999,0.393267]	[78.842799,59.802389,103.731835,74.044372,110.177043,87.426162,81.677246,47.077748]	1620
[0.032550,0.145035,0.088149,0.144035,0.046687,0.179191,0.057862,0.564482]	[80.019743,65.432870,102.971349,71.848827,105.795691,94.354657,80.976864,42.071500]	1481
[0.025112,0.396750,0.179527,0.099153,0.095222,0.126423,0.033468,0.462231]	[91.674822,59.280289,96.135638,77.628698,81.292298,104.897971,83.629930,41.522176]	1946
[0.028225,0.249651,0.265535,0.151923,0.096644,0.096846,0.026288,0.618307]	[83.967178,54.113621,101.762156,72.907150,78.338646,106.610600,85.495269,52.880248]	1213
[0.027356,0.276350,0.298322,0.129868,0.086726,0.093996,0.024506,0.514043]	[85.739597,54.129065,99.455348,74.955663,80.843463,103.952297,89.904381,51.089956]	778
[0.021255,0.324404,0.269716,0.104632,0.128637,0.087564,0.042427,0.401767]	[80.917036,54.128395,95.140200,73.724543,77.115692,109.444292,90.297333,59.950938]	1997
[0.021028,0.380684,0.434129,0.101464,0.067782,0.088249,0.054964,0.543371]	[93.175520,54.066285,81.664611,77.849832,87.512689,108.424975,86.443330,53.399436]	1830
[0.021868,0.304494,0.596394,0.114314,0.098461,0.065536,0.037911,0.583783]	[84.134610,54.908978,93.661357,78.686327,77.517411,107.480200,79.429608,51.381066]	1139
[0.025642,0.463537,0.475689,0.103528,0.054781,0.099949,0.078189,0.361846]	[74.546597,57.995352,98.504417,79.233658,81.601729,107.266565,84.448397,49.324474]	1038
[0.023590,0.322748,0.210737,0.158096,0.055884,0.229250,0.049849,0.402063]	[70.767442,52.888609,113.380722,69.321853,78.444868,101.426858,101.001090,52.349110]	2132
[0.030628,0.407605,0.323134,0.114256,0.077916,0.111251,0.024849,0.481879]	[68.507444,62.638663,103.471962,76.949417,79.181347,108.178097,84.914409,46.381534]	1935
[0.026108,0.399559,0.305082,0.125630,0.076534,0.097498,0.026554,0.508647]	[83.883533,63.095072,94.127269,73.492530,80.522302,107.505740,87.858428,46.566073]	661
[0.026055,0.408232,0.300103,0.121811,0.077501,0.085616,0.025637,0.515938]	[84.275770,63.413628,93.594119,74.486993,77.165364,107.536790,84.458245,46.577509]	253
[0.033568,0.386876,0.292027,0.113105,0.086313,0.083299,0.034595,0.561047]	[65.914639,62.808388,103.379677,75.560608,85.964060,109.343095,78.464715,47.421004]	841
[0.035852,0.424562,0.292901,0.115512,0.088217,0.077068,0.034415,0.551955]	[69.819737,60.294128,105.454572,76.520418,80.549182,107.332328,81.206359,47.270682]	523
[0.025180,0.432711,0.355978,0.138589,0.106319,0.059583,0.036838,0.694638]	[96.116264,58.569870,85.898252,73.161685,77.004253,107.479178,79.644114,50.900708]	796
[0.029401,0.441368,0.339964,0.135628,0.114312,0.047700,0.032504,0.604352]	[92.899890,57.916311,89.102900,72.650137,70.490173,103.736759,80.935142,51.276204]	400
[0.030333,0.387588,0.345071,0.130783,0.118409,0.043163,0.039476,0.612981]	[91.001235,57.852989,90.255640,72.237619,70.794932,102.131299,83.789501,51.465362]	259
[0.028332,0.461653,0.270108,0.121157,0.080732,0.076083,0.050558,0.657806]	[81.416900,53.298920,103.468427,75.396310,84.767213,106.027833,80.701247,47.431916]	1041
[0.032301,0.455069,0.273601,0.126937,0.078721,0.064118,0.053802,0.563763]	[69.589839,54.283289,109.692091,74.727220,74.389317,109.477488,84.640324,47.723336]	793
[0.027613,0.488386,0.287440,0.140914,0.091798,0.058964,0.045802,0.576736]	[92.894940,53.922311,92.367082,73.707513,68.944166,106.251842,84.277855,48.095500]	615
[0.031410,0.458743,0.254740,0.129619,0.094382,0.055611,0.051259,0.562279]	[84.932434,55.202719,99.008981,73.690690,70.049990,104.609335,84.637045,46.899263]	343
[0.029592,0.493116,0.251592,0.136344,0.081465,0.053195,0.052027,0.500442]	[73.032151,53.952607,108.542040,72.706664,69.516607,103.615853,86.282547,46.613890]	445
[0.028443,0.487232,0.248490,0.120840,0.075032,0.053642,0.062867,0.497151]	[67.211821,53.975872,108.620903,72.125255,71.190892,104.638688,91.593816,46.178571]	451
[0.029988,0.468429,0.272619,0.125843,0.091516,0.053481,0.060094,0.554126]	[80.083932,53.237954,103.368113,73.402155,65.898155,104.528065,88.602139,47.575575]	732
[0.033797,0.457699,0.257371,0.133115,0.089424,0.048352,0.063478,0.454896]	[71.467768,53.546543,109.046298,73.376599,66.182701,103.035067,89.003945,47.796017]	438
[0.019431,0.396103,0.202196,0.157502,0.067196,0.083654,0.075512,0.484642]	[64.975620,55.245732,110.423760,71.992294,79.297446,110.877373,90.639039,46.192457]	1520
[0.025459,0.340051,0.240519,0.135502,0.059123,0.053933,0.043037,0.470299]	[73.983944,53.710752,106.534108,74.640452,74.060329,107.220754,89.405352,46.961041]	1009
[0.032443,0.275392,0.240003,0.129760,0.033374,0.061127,0.159773,0.516661]	[73.080649,55.294119,108.357996,73.198822,84.121343,106.872731,80.665857,47.945810]	1563
[0.027622,0.462109,0.323197,0.147706,0.032223,0.075386,0.207422,0.135541]	[89.894177,54.923355,94.059806,73.706299,92.047267,106.736087,77.680555,51.059400]	1296
[0.027427,0.353125,0.273856,0.116826,0.025254,0.068212,0.254870,0.407446]	[82.068145,63.097807,94.554030,76.612163,92.293024,105.952253,78.000477,45.695180]	1045
[0.026414,0.424949,0.201085,0.110556,0.024261,0.058796,0.265275,0.457048]	[85.357707,55.005477,101.157181,75.581577,84.698938,107.174340,76.903067,43.382722]	899
[0.033294,0.400932,0.165431,0.114546,0.025385,0.050085,0.293510,0.447970]	[80.099095,54.330491,105.726952,74.839885,84.808683,101.060005,73.359106,44.218374]	489
[0.030681,0.401318,0.188392,0.114549,0.030834,0.052455,0.282669,0.447217]	[83.644354,54.335284,102.955453,75.893281,85.634544,102.110092,72.562863,44.213163]	390
[0.030329,0.409380,0.180790,0.117258,0.028307,0.048902,0.300469,0.557218]	[72.280605,54.551809,112.666543,74.706873,85.394772,100.222706,73.009701,43.990479]	297
[0.023434,0.305699,0.133904,0.133951,0.021776,0.063022,0.225590,0.540206]	[83.492027,55.753678,107.418068,69.706969,87.023199,104.406532,78.754894,42.375883]	1225
[0.006772,0.305428,0.121453,0.195111,0.115968,0.214321,0.155323,0.458952]	[102.799778,53.703875,107.910815,74.870012,84.537979,88.214622,90.495518,43.520504]	2239
[0.025109,0.301003,0.239880,0.126061,0.020012,0.126539,0.128428,0.468226]	[70.043945,52.795828,110.198525,76.768358,92.839963,103.125885,82.732784,46.807509]	2388
[0.028266,0.364254,0.277590,0.136914,0.022201,0.077043,0.224807,0.624923]	[67.706394,60.819558,105.752519,74.039974,90.959834,104.117406,80.505253,46.894395]	1244
[0.029543,0.394131,0.252616,0.118156,0.028442,0.088004,0.228519,0.575396]	[71.211333,57.383130,108.685064,76.065016,84.732220,105.931671,77.732336,48.959485]	626
[0.023647,0.400335,0.246217,0.118653,0.024310,0.062307,0.321581,0.616927]	[71.828781,62.569623,104.821418,73.570875,87.202421,102.039054,77.429475,42.207019]	995
[0.027509,0.418470,0.173529,0.113191,0.020342,0.048240,0.237820,0.539465]	[69.614526,53.544502,117.982127,72.765149,83.968700,104.752561,79.331284,42.822218]	948
[0.030335,0.419070,0.159519,0.110188,0.022611,0.049731,0.271789,0.545350]	[69.743189,54.363891,116.983020,73.939471,84.501872,103.474624,77.884182,42.726664]	354
[0.035248,0.458761,0.253214,0.162850,0.025113,0.067243,0.213952,0.509483]	[67.323551,61.909128,106.662981,71.562124,93.124708,102.706993,76.023633,51.931593]	1269
[0.030690,0.487789,0.278959,0.124220,0.024630,0.056535,0.285480,0.536499]	[81.440391,58.271000,99.598515,72.265379,87.463565,103.988085,72.897662,53.072914]	763
[0.036578,0.402011,0.267963,0.138960,0.025825,0.068326,0.225455,0.539339]	[74.947141,57.114200,104.286679,74.101639,91.238487,104.164770,76.264031,50.976346]	1001
[0.052412,0.396066,0.223206,0.128280,0.028981,0.077239,0.233673,0.377416]	[61.834569,61.629005,108.864328,73.669449,90.088471,105.670956,75.589896,51.937702]	660
[0.047643,0.436947,0.202784,0.114365,0.038587,0.055272,0.223473,0.371911]	[66.987352,55.452893,110.625719,72.433975,84.966674,105.805313,73.181948,52.220760]	871
[0.013306,0.385188,0.279830,0.127309,0.040574,0.078464,0.221493,0.550166]	[89.840523,52.770993,107.150571,71.923462,84.126940,107.714264,73.565874,48.577710]	1940
[0.027760,0.301491,0.327617,0.183898,0.024210,0.077163,0.298544,0.603012]	[74.924604,53.213166,104.546844,73.162284,85.556367,106.267086,78.035828,56.260513]	1968
[0.031320,0.284308,0.376272,0.142748,0.030138,0.058400,0.308134,0.548534]	[73.420588,57.185857,103.452997,73.093495,82.491457,104.369391,78.928671,53.239687]	1101
[0.023936,0.321014,0.299462,0.141910,0.035025,0.064970,0.214893,0.586226]	[98.885516,53.422114,87.716746,71.867666,90.939624,106.199419,77.669326,52.133014]	1082
[0.019327,0.306047,0.601195,0.109371,0.046454,0.069996,0.209775,0.532684]	[99.630567,54.304299,81.406052,78.135843,93.064513,104.604693,74.142962,52.271467]	1370
[0.012912,0.150802,0.140577,0.153753,0.046298,0.111265,0.117630,0.328848]	[82.362592,54.666423,113.725772,73.064880,84.426180,109.252742,75.980253,51.644699]	2545
[0.008863,0.176980,0.185468,0.240656,0.060591,0.215041,0.252936,0.359096]	[95.423279,54.631227,107.229558,68.000350,80.937525,99.059484,85.952512,54.345901]	2085
[0.006425,0.357392,0.574813,0.091434,0.073570,0.335285,0.190598,0.423416]	[97.062541,53.170668,79.754638,90.782421,80.880994,85.551490,103.302128,58.205597]	2970
[0.020670,0.339889,0.202373,0.148647,0.021494,0.284997,0.168560,0.475111]	[77.362914,55.209495,111.057769,69.028976,100.130688,99.414081,84.028480,49.540706]	2857
[0.016874,0.416590,0.331197,0.135871,0.024612,0.079463,0.190451,0.421498]	[74.639407,54.027470,109.465770,74.390891,79.989037,109.298708,79.713721,49.118352]	1752
[0.022254,0.350439,0.337243,0.130251,0.024379,0.056397,0.144741,0.403283]	[66.161102,53.639459,110.378546,73.550166,82.115646,110.674414,82.166221,49.591849]	522
[0.024970,0.475989,0.317452,0.119273,0.021487,0.066204,0.261418,0.504416]	[65.798769,61.354028,104.801246,74.302901,84.884194,106.447184,83.103960,44.735497]	1178
[0.028625,0.519040,0.298086,0.105620,0.023357,0.067154,0.253052,0.599362]	[71.128628,56.220475,108.807745,77.342769,80.998772,105.453971,81.159012,46.401359]	671
[0.024787,0.316386,0.277414,0.156441,0.031869,0.066508,0.276867,0.682046]	[75.375566,55.249425,108.398630,70.090022,86.366136,109.125034,78.585457,51.014585]	1081
[0.025384,0.319403,0.273459,0.148948,0.030228,0.079445,0.174065,0.634702]	[84.136741,54.036421,101.342220,73.155727,93.943065,104.413867,78.563601,48.655201]	828
[0.025875,0.317526,0.255031,0.166605,0.046960,0.095527,0.114420,0.669142]	[96.963580,53.786338,87.922167,73.735810,92.904022,104.728197,80.596699,51.883072]	810
[0.028687,0.289798,0.233782,0.136915,0.045871,0.068524,0.140612,0.532212]	[91.730139,53.759138,93.661183,74.959758,94.361845,105.043228,77.083112,48.871136]	971
[0.028839,0.263188,0.237918,0.124255,0.041959,0.055476,0.186948,0.541202]	[96.176859,53.678386,88.672803,73.471489,91.109698,104.240224,76.164862,49.618168]	770
[0.016343,0.426024,0.284776,0.190137,0.025085,0.073437,0.186497,0.463682]	[78.405911,52.938825,109.981795,72.711569,90.179248,107.593527,72.573354,54.697800]	1865
[0.024201,0.377184,0.188143,0.203273,0.023057,0.059564,0.170082,0.453224]	[69.542973,53.062841,114.061035,71.201637,85.542337,107.372508,81.230516,54.471326]	1062
[0.023762,0.408102,0.274842,0.154190,0.025276,0.079248,0.234194,0.487961]	[84.535527,56.809277,98.676594,72.856584,94.555884,106.001549,75.168004,49.479764]	984
[0.028868,0.368853,0.267244,0.134836,0.028594,0.061181,0.219665,0.644061]	[74.374725,54.220988,106.292786,72.759986,89.641316,103.291590,75.633513,50.514800]	742
[0.021595,0.245364,0.354943,0.191100,0.029079,0.079873,0.239626,0.475636]	[80.780335,53.465612,96.745632,72.266004,88.480198,109.104437,79.815421,59.471613]	1260
[0.026552,0.212802,0.405899,0.115216,0.029653,0.056349,0.264882,0.271691]	[97.696049,53.677122,73.013525,75.596891,84.544617,107.413305,84.492456,60.974220]	1525
[0.020101,0.433905,0.225004,0.137673,0.032205,0.230109,0.059407,0.511827]	[65.264808,55.804687,109.078961,77.685048,105.093425,94.107745,88.254264,42.707554]	3148
[0.022586,0.409132,0.266349,0.121093,0.032740,0.220226,0.105608,0.639516]	[66.617014,61.106801,105.718911,76.833857,99.517969,99.117458,90.236465,43.845041]	1465
[0.026957,0.403422,0.193703,0.117862,0.019202,0.123535,0.187585,0.541716]	[66.991246,61.578668,108.999833,76.213797,95.430701,102.326837,83.169184,41.491900]	1270
[0.030892,0.346942,0.216869,0.143946,0.022179,0.149765,0.134215,0.479985]	[66.060457,63.369044,108.005790,72.574203,96.689443,100.179485,83.846931,45.656969]	1210
[0.022968,0.388039,0.228434,0.144994,0.029480,0.123537,0.127150,0.629044]	[87.093934,63.803642,91.866321,72.265409,95.220690,104.060560,83.607210,42.319334]	1148
[0.025984,0.443285,0.198581,0.134922,0.046496,0.099892,0.133362,0.528576]	[84.513409,62.237293,95.664318,72.577794,90.183094,107.006791,82.045673,43.095407]	745
[0.029048,0.421006,0.162922,0.126736,0.046500,0.116723,0.121499,0.520615]	[93.222758,62.970922,86.182195,72.380444,89.960732,105.172905,85.436434,42.539109]	685
[0.033989,0.471109,0.162737,0.131999,0.029818,0.079330,0.185149,0.334191]	[73.541697,55.400851,107.935925,73.922365,83.768528,107.897319,78.561762,44.980080]	1016
[0.032578,0.443915,0.239303,0.145978,0.021451,0.086500,0.193114,0.574974]	[71.306588,54.402459,111.170530,74.196183,94.113367,102.952800,76.962737,48.951499]	1172
[0.031557,0.517514,0.240754,0.143575,0.028556,0.081532,0.196927,0.511278]	[84.470543,54.275702,100.493459,74.929719,94.308228,102.519735,75.059953,49.357252]	485
[0.037343,0.464014,0.229461,0.126003,0.029450,0.088628,0.253203,0.456000]	[69.795772,55.658209,109.448794,74.554942,90.088535,106.748257,74.672377,49.160307]	597
[0.038758,0.481292,0.245056,0.115278,0.038118,0.063960,0.203817,0.533618]	[77.683144,52.849061,103.474639,70.820657,87.605093,109.682887,75.547330,54.166703]	924
[0.039166,0.531007,0.217439,0.116371,0.030923,0.057495,0.231460,0.507519]	[70.715317,52.789329,107.744192,70.973850,89.599736,105.819238,73.078801,54.040932]	460
[0.026267,0.347288,0.212368,0.144400,0.023841,0.117561,0.322935,0.335547]	[78.326467,52.761082,111.937894,70.891578,85.322132,108.927190,76.120366,50.975026]	1560
